xmin,ymin,xmax,ymax,confidence,class,name
577.5524291992188,329.0176696777344,737.7734985351562,472.9687805175781,0.918431282043457,2,car
47.75349426269531,393.9797668457031,230.9514617919922,530.8251342773438,0.8577867150306702,2,car
542.2341918945312,239.3308563232422,679.5682983398438,356.804931640625,0.8545142412185669,2,car
348.8453369140625,301.3063049316406,499.9209289550781,433.6409606933594,0.8494080305099487,2,car
119.10358428955078,252.42935180664062,269.1376037597656,400.00555419921875,0.8484514355659485,2,car
364.7523498535156,400.7804870605469,563.5968627929688,532.3035278320312,0.8062886595726013,2,car
330.0607604980469,229.9279022216797,464.87713623046875,350.5777587890625,0.7977952361106873,2,car
451.5437316894531,65.28766632080078,540.9542236328125,155.4324951171875,0.7796959280967712,2,car
361.88983154296875,80.44146728515625,460.00714111328125,187.79580688476562,0.7737745642662048,2,car
548.5911254882812,141.24435424804688,591.4891967773438,184.6281280517578,0.7326109409332275,0,person
330.7667236328125,189.2954864501953,459.9976806640625,267.9739990234375,0.6373409032821655,2,car
161.12982177734375,113.09231567382812,266.353515625,228.01583862304688,0.6293057799339294,2,car
429.9938659667969,22.541675567626953,508.0832214355469,81.237060546875,0.6019980907440186,2,car
516.27880859375,185.14169311523438,642.0017700195312,294.6502380371094,0.5958358645439148,2,car
0.04687786102294922,111.45106506347656,57.677520751953125,188.3495635986328,0.5721750855445862,2,car
316.1114196777344,158.71006774902344,415.1524353027344,252.16127014160156,0.5666917562484741,2,car
143.6809539794922,203.70558166503906,265.9600524902344,282.3704528808594,0.5606885552406311,2,car
588.5265502929688,96.49031829833984,615.6943969726562,176.0825653076172,0.5557624697685242,0,person
315.96197509765625,45.98127365112305,406.76092529296875,146.1867218017578,0.5444393754005432,2,car
1.1791491508483887,4.025354385375977,68.65489196777344,59.72188949584961,0.5016149282455444,7,truck
177.53875732421875,80.25004577636719,269.0111083984375,150.8282012939453,0.45802879333496094,2,car
0,44.50723648071289,59.812591552734375,128.05181884765625,0.44198399782180786,2,car
415.899658203125,0,485.9259033203125,53.30059814453125,0.3759942352771759,2,car
234.9213409423828,44.274635314941406,269.8741455078125,99.59514617919922,0.37211620807647705,0,person
0.40840089321136475,205.17417907714844,12.837740898132324,275.91290283203125,0.356129914522171,2,car
305.8746337890625,0,370.5555725097656,43.348541259765625,0.35523492097854614,2,car
296.4722900390625,47.607994079589844,321.5951843261719,88.76393127441406,0.3432368338108063,3,motorcycle
204.8741912841797,33.026283264160156,268.8126220703125,83.14891052246094,0.3007635474205017,2,car
206.44775390625,0,270.2333068847656,40.325679779052734,0.28149738907814026,7,truck
160.3141632080078,114.4538803100586,265.9450378417969,227.54592895507812,0.2687687575817108,7,truck
144.2177276611328,283.2652587890625,180.40467834472656,309.3928527832031,0.2647798955440521,0,person
